Institution,Latitude,Longitude,Location
University of Illinois Urbana-Champaign,40.11055555555556,-88.22833333333334,"Champaign-Urbana, Illinois[a]"
Indiana University Bloomington,39.16722222222222,-86.5213888888889,"Bloomington, Indiana"
University of Iowa,41.66166666666666,-91.5363888888889,"Iowa City, Iowa"
"University of Maryland, College Park",38.988055555555555,-76.94305555555556,"College Park, Maryland"
University of Michigan,42.276944444444446,-83.73805555555556,"Ann Arbor, Michigan"
Michigan State University,42.725,-84.48,"East Lansing, Michigan"
University of Minnesota Twin Cities,44.975,-93.23527777777778,"Minneapolis-St. Paul, Minnesota[e]"
University of Nebraska-Lincoln,40.8175,-96.70138888888889,"Lincoln, Nebraska"
Northwestern University,42.05583333333333,-87.67472222222223,"Evanston, Illinois"
The Ohio State University,40.0,-83.0125,"Columbus, Ohio"
University of Oregon,44.04416666666666,-123.07583333333334,"Eugene, Oregon"
Pennsylvania State University,40.79833333333333,-77.86,"University Park, Pennsylvania"
Purdue University,40.425,-86.92305555555556,"West Lafayette, Indiana"
"Rutgers, The State University of New Jersey, New Brunswick",40.501666666666665,-74.44805555555556,"New Brunswick-Piscataway, New Jersey"
"University of California, Los Angeles",34.07222222222222,-118.44277777777778,"Los Angeles, California(Westwood)"
University of Southern California,34.02055555555555,-118.28472222222221,"Los Angeles, California(University Park)"
University of Washington,47.65416666666667,-122.30805555555555,"Seattle, Washington"
University of Wisconsin-Madison,43.07527777777778,-89.40416666666667,"Madison, Wisconsin"
