,Home,Illinois,Indiana,Iowa,Maryland,Michigan,MichiganState,Minnesota,Nebraska,Northwestern,OhioState,Oregon,PennState,Purdue,Rutgers,SouthernCalifornia,UCLA,Washington,Wisconsin
Home,0,0,0,0,0,0,0,0,0,"Jan 1, 2025",0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,"Oct 12, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct 19, 2024",0,0,0,0,0
Iowa,0,0,0,0,0,"Nov 29, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,"Oct 11, 2024",0,0,0,0,0,0,0,0
Michigan,0,0,0,0,0,0,"Nov 23, 2024",0,0,0,0,0,0,0,0,0,0,0,0
MichiganState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nov 22, 2024"
Minnesota,0,0,0,0,0,0,0,0,"Sep 21, 2024",0,0,0,0,0,0,0,0,0,0
Nebraska,"Sep 20, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwestern,0,0,0,"Nov 30, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OhioState,0,0,0,0,0,0,0,0,0,0,0,0,"Oct 5, 2024",0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nov 9, 2024",0,0
PennState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sep 28, 2024",0,0,0,0
Purdue,0,"Oct 18, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers,0,0,0,0,0,0,0,"Sep 27, 2024",0,0,0,0,0,0,0,0,0,0,0
SouthernCalifornia,0,0,"Oct 25, 2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nov 8, 2024",0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,"Nov 15, 2024",0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nov 16, 2024",0
